,asin,url,title,seller,price,stars,ratings
0,B0BZCR6TNK,https://www.amazon.in/dp/B0BZCR6TNK,"Samsung Galaxy M14 5G (ICY Silver,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,16490,,"13,319 ratings"
1,B0B4F2XCK3,https://www.amazon.in/dp/B0B4F2XCK3,"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",STPL Exclusive Online,12999,,"29,787 ratings"
2,B0CBRN65NP,https://www.amazon.in/dp/B0CBRN65NP,"Lava Blaze 5G (Glass Blue, 8GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 16GB Expandable RAM | Charger Included | Clean Android (No Bloatware)",Appario Retail Private Ltd,11049,,"5,910 ratings"
3,B0CKN56PQ8,https://www.amazon.in/dp/B0CKN56PQ8,"realme narzo N53 (Feather Black, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display",NAINTARA TRADELINK,11649,,"10,554 ratings"
4,B0CGDQ9SN7,https://www.amazon.in/dp/B0CGDQ9SN7,"realme narzo 60X 5G（Stellar Green, 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",Darshita Etel,12999,,"4,021 ratings"
5,B0BZ466BWW,https://www.amazon.in/dp/B0BZ466BWW,"realme narzo N55 (Prime Blue, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera",Darshita Etel,12999,,"9,741 ratings"
6,B0BZ48H8JX,https://www.amazon.in/dp/B0BZ48H8JX,"realme narzo N55 (Prime Black, 6GB+128GB) 33W Segment Fastest Charging | Super High-res 64MP Primary AI Camera",Darshita Etel,12999,,"9,741 ratings"
7,B0CHFBKXHP,https://www.amazon.in/dp/B0CHFBKXHP,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Pink,Appario Retail Private Ltd,12599,,"1,326 ratings"
8,B0CGDQ7VNL,https://www.amazon.in/dp/B0CGDQ7VNL,"realme narzo 60X 5G（Nebula Purple 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",Darshita Etel,12999,,"4,021 ratings"
9,B0B4F52B5X,https://www.amazon.in/dp/B0B4F52B5X,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",STPL Exclusive Online,10999,,"29,787 ratings"
10,B0C1GKQ79V,https://www.amazon.in/dp/B0C1GKQ79V,"Redmi Note 12 (Ice Blue, 6GB RAM, 64GB Storage)",Darshita Mobiles,11999,,379 ratings
11,B0C9J9CZR6,https://www.amazon.in/dp/B0C9J9CZR6,Redmi 12 5G Moonstone Silver 6GB RAM 128GB ROM,#GreenMobiles,13499,,"7,556 ratings"
12,B0B4F2TTTS,https://www.amazon.in/dp/B0B4F2TTTS,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",STPL Exclusive Online,10999,,"29,787 ratings"
13,B0C788SHHC,https://www.amazon.in/dp/B0C788SHHC,"realme narzo 60 5G (Mars Orange,8GB+128GB) 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger",Darshita Etel,17999,,"4,299 ratings"
14,B0BZCSNTT4,https://www.amazon.in/dp/B0BZCSNTT4,"Samsung Galaxy M14 5G (Berry Blue,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,16490,,"13,319 ratings"
15,B0B4F2XCK3,https://www.amazon.in/dp/B0B4F2XCK3,"Samsung Galaxy M13 (Aqua Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus",STPL Exclusive Online,12999,,"29,787 ratings"
16,B09WQY65HN,https://www.amazon.in/dp/B09WQY65HN,"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)",Darshita Electronics,17999,,"140,270 ratings"
17,B0CDXKF7KM,https://www.amazon.in/dp/B0CDXKF7KM,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Purple,Appario Retail Private Ltd,12599,,"1,326 ratings"
18,B0CGDQRR9Y,https://www.amazon.in/dp/B0CGDQRR9Y,"realme narzo 60X 5G（Stellar Green,6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",Darshita Etel,14499,,"4,021 ratings"
19,B0CDXHYHZ6,https://www.amazon.in/dp/B0CDXHYHZ6,Nokia G42 5G | Snapdragon® 480+ 5G | 50MP Triple AI Camera | 11GB RAM (6GB RAM + 5GB Virtual RAM) | 128GB Storage | 5000mAh Battery | 2 Years Android Upgrades | 20W Charger Included | So Grey,Appario Retail Private Ltd,12599,,"1,326 ratings"
20,B0CHJPZXX5,https://www.amazon.in/dp/B0CHJPZXX5,itel P55 5G | Dimensity 6080 | 12GB* RAM+128GB ROM with Memory Fusion| 50MP AI Dual Rear Camera| 5000mAh Battery | 2 Years Warranty | Galaxy Blue,Appario Retail Private Ltd,10499,,"1,046 ratings"
21,B0BQ3RC28F,https://www.amazon.in/dp/B0BQ3RC28F,Redmi Note 12 5G Frosted Green 4GB RAM 128GB ROM | 1st Phone with 120Hz Super AMOLED and Snapdragon® 4 Gen 1 | 48MP AI Triple Camera,Darshita Mobiles,15499,,"9,076 ratings"
22,B0BZCSSNV7,https://www.amazon.in/dp/B0BZCSSNV7,"Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,16490,,"13,319 ratings"
23,B0C9J97S7Q,https://www.amazon.in/dp/B0C9J97S7Q,Redmi 12 5G Jade Black 8GB RAM 256GB ROM,Darshita Mobiles,15499,,"7,556 ratings"
24,B0CJSNDYR2,https://www.amazon.in/dp/B0CJSNDYR2,"OPPO A18 (Glowing Blue, 4GB RAM, 128GB Storage) | 6.56"" HD 90Hz Waterdrop Display | 5000 mAh Battery with No Cost EMI/Additional Exchange Offers",Appario Retail Private Ltd,11499,,17 ratings
25,B07WHSR1NR,https://www.amazon.in/dp/B07WHSR1NR,"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | Travel Adaptor Included in The Box",Darshita Etel,12999,,"18,645 ratings"
26,B07WFP331D,https://www.amazon.in/dp/B07WFP331D,"iQOO Z7s 5G by vivo (Pacific Night, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",Darshita Etel,15999,,"11,598 ratings"
27,B07WGPKSG8,https://www.amazon.in/dp/B07WGPKSG8,"iQOO Z7s 5G by vivo (Pacific Night, 8GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",Darshita Etel,16999,,"11,598 ratings"
28,B09WQYFLRX,https://www.amazon.in/dp/B09WQYFLRX,"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)",Darshita Electronics,17999,,"140,269 ratings"
29,B0C9JFM6X6,https://www.amazon.in/dp/B0C9JFM6X6,Redmi 12 5G Moonstone Silver 8GB RAM 256GB ROM,Darshita Mobiles,15499,,"7,556 ratings"
30,B07WFNTGLL,https://www.amazon.in/dp/B07WFNTGLL,"iQOO Z7s 5G by vivo (Norway Blue, 8GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",Darshita Etel,16999,,"11,598 ratings"
31,B0C1GJYYY1,https://www.amazon.in/dp/B0C1GJYYY1,"Redmi Note 12 (Sunrise Gold, 6GB RAM, 64GB Storage)",Darshita Mobiles,11999,,379 ratings
32,B0B4F2TTTS,https://www.amazon.in/dp/B0B4F2TTTS,"Samsung Galaxy M13 (Aqua Green, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",STPL Exclusive Online,10999,,"29,787 ratings"
33,B0C9JFBGSJ,https://www.amazon.in/dp/B0C9JFBGSJ,Redmi 12 5G Pastel Blue 8GB RAM 256GB ROM,Darshita Mobiles,15499,,"7,556 ratings"
34,B0C9J97S7Q,https://www.amazon.in/dp/B0C9J97S7Q,Redmi 12 5G Jade Black 8GB RAM 256GB ROM,Darshita Mobiles,15499,,"7,556 ratings"
35,B0C9JFWBH7,https://www.amazon.in/dp/B0C9JFWBH7,Redmi 12 5G Jade Black 6GB RAM 128GB ROM,Darshita Mobiles,13499,,"7,556 ratings"
36,B07WHS7MZ4,https://www.amazon.in/dp/B07WHS7MZ4,"iQOO Z7s 5G by vivo (Norway Blue, 6GB RAM, 128GB Storage) | Ultra Bright AMOLED Display | Snapdragon 695 5G 6nm Processor | 64 MP OIS Ultra Stable Camera | 44WFlashCharge",Darshita Etel,15999,,"11,598 ratings"
37,B0C9J9CZR6,https://www.amazon.in/dp/B0C9J9CZR6,Redmi 12 5G Moonstone Silver 6GB RAM 128GB ROM,#GreenMobiles,13499,,"7,556 ratings"
38,B0CDS9PTRQ,https://www.amazon.in/dp/B0CDS9PTRQ,"POCO M6 Pro 5G (Forest Green, 128 GB) (6 GB RAM)",Teknolgic,12647,,142 ratings
39,B0CHJN2HNZ,https://www.amazon.in/dp/B0CHJN2HNZ,itel P55 5G | Dimensity 6080 | 12GB* RAM+128GB ROM with Memory Fusion| 50MP AI Dual Rear Camera| 5000mAh Battery | 2 Years Warranty | Mint Green,Appario Retail Private Ltd,10499,,"1,046 ratings"
40,B0C7C1DRK5,https://www.amazon.in/dp/B0C7C1DRK5,"Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger",STPL Exclusive Online,19999,,"8,446 ratings"
41,B0C9JFBGSJ,https://www.amazon.in/dp/B0C9JFBGSJ,Redmi 12 5G Pastel Blue 8GB RAM 256GB ROM,Darshita Mobiles,15499,,"7,556 ratings"
42,B0BZCV25LG,https://www.amazon.in/dp/B0BZCV25LG,"Samsung Galaxy M14 5G (Smoky Teal,4GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,14990,,"13,319 ratings"
43,B07WGPKTST,https://www.amazon.in/dp/B07WGPKTST,"vivo Y27 (Burgundy Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Appario Retail Private Ltd,13999,,162 ratings
44,B0CC31RKH5,https://www.amazon.in/dp/B0CC31RKH5,"TECNO Pova 5 Pro 5G (Silver Fantasy, 8GB RAM,256GB Storage)| Segment 1st 68W Ultra Fast Charging | India's 1st Multi-Colored Backlit ARC Interface | 50MP AI Dual Camera |6.78”FHD+ Dot-in Display",Appario Retail Private Ltd,15999,,"2,255 ratings"
45,B0C467KFNM,https://www.amazon.in/dp/B0C467KFNM,"Lava Agni 2 5G (Glass Viridian, 8GB RAM, 256GB Storage) | India's First Dimensity 7050 Processor | 120 Hz Curved Amoled Display | 13 5G Bands | Superfast 66W Charging | Clean Android",Appario Retail Private Ltd,19999,,"2,616 ratings"
46,B0BZCSSNV7,https://www.amazon.in/dp/B0BZCSSNV7,"Samsung Galaxy M14 5G (Smoky Teal,6GB,128GB)|50MP Triple Cam|Segment's Only 6000 mAh 5G SP|5nm Processor|2 Gen. OS Upgrade & 4 Year Security Update|12GB RAM with RAM Plus|Android 13|Without Charger",STPL Exclusive Online,16490,,"13,319 ratings"
47,B0C1GJYYY1,https://www.amazon.in/dp/B0C1GJYYY1,"Redmi Note 12 (Sunrise Gold, 6GB RAM, 64GB Storage)",Darshita Mobiles,11999,,379 ratings
48,B0C787P8BV,https://www.amazon.in/dp/B0C787P8BV,"realme narzo 60 5G (Mars Orange,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Premium Vegan Leather Design | with 33W SUPERVOOC Charger",Darshita Etel,19999,,"4,299 ratings"
49,B082F2T5PQ,https://www.amazon.in/dp/B082F2T5PQ,"Oppo A78 5G (Glowing Blue, 8GB RAM, 128 Storage) | 5000 mAh Battery with 33W SUPERVOOC Charger| 50MP AI Camera | 90Hz Refresh Rate | with No Cost EMI/Additional Exchange Offers",Appario Retail Private Ltd,18999,,"2,515 ratings"
50,B07WHQY9SB,https://www.amazon.in/dp/B07WHQY9SB,"Vivo T2x 5G (Marine Blue, 128 GB) (6 GB RAM)",AUTHORISED DEALS,14765,,154 ratings
51,B0C7C28GKF,https://www.amazon.in/dp/B0C7C28GKF,"Samsung Galaxy M34 5G (Waterfall Blue,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger",STPL Exclusive Online,19999,,"8,446 ratings"
52,B0C2VH4DPM,https://www.amazon.in/dp/B0C2VH4DPM,"Redmi Note 12 (Lunar Black, 6GB RAM, 64GB Storage)",Darshita Mobiles,11999,,379 ratings
53,B0C78869XJ,https://www.amazon.in/dp/B0C78869XJ,"realme narzo 60 5G (Cosmic Black,8GB+128GB) | 90Hz Super AMOLED Display | Ultra Sharp 64 MP Camera | with 33W SUPERVOOC Charger",Darshita Etel,17999,,"4,299 ratings"
54,B0CKN5LGDW,https://www.amazon.in/dp/B0CKN5LGDW,"realme narzo N53 (Feather Gold, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display",NAINTARA TRADELINK,11649,,"10,554 ratings"
55,B0C4622G6N,https://www.amazon.in/dp/B0C4622G6N,"realme narzo N53 (Feather Black, 6GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display",Clicktech Retail,10999,,"10,554 ratings"
56,B09QS8V5N8,https://www.amazon.in/dp/B09QS8V5N8,"Redmi Note 11 (Space Black, 4GB RAM, 64GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included",Darshita Mobiles,10999,,"60,090 ratings"
57,B0C78B7KQH,https://www.amazon.in/dp/B0C78B7KQH,"realme narzo 60 5G (Cosmic Black,8GB+256GB) | 90Hz Super AMOLED Display | Ultra Sharp 64 MP Camera | with 33W SUPERVOOC Charger",Darshita Etel,19999,,"4,299 ratings"
58,B0CHJPZXX5,https://www.amazon.in/dp/B0CHJPZXX5,itel P55 5G | Dimensity 6080 | 12GB* RAM+128GB ROM with Memory Fusion| 50MP AI Dual Rear Camera| 5000mAh Battery | 2 Years Warranty | Galaxy Blue,Appario Retail Private Ltd,10499,,"1,046 ratings"
59,B09Y99VSSJ,https://www.amazon.in/dp/B09Y99VSSJ,"Nokia G21 Android Smartphone, Dual SIM, 3-Day Battery Life, 6GB RAM + 128GB Storage, 50MP Triple AI Camera | Nordic Blue",Appario Retail Private Ltd,12499,,"4,284 ratings"
60,B0CDRVG19T,https://www.amazon.in/dp/B0CDRVG19T,"POCO M6 Pro 5G (Power Black, 128 GB) (6 GB RAM)",Teknolgic,12688,,142 ratings
61,B0B4F52B5X,https://www.amazon.in/dp/B0B4F52B5X,"Samsung Galaxy M13 (Midnight Blue, 4GB, 64GB Storage) | 6000mAh Battery | Upto 8GB RAM with RAM Plus",STPL Exclusive Online,10999,,"29,787 ratings"
62,B09Y23QZ6C,https://www.amazon.in/dp/B09Y23QZ6C,"Redmi 10 (Caribbean Green, 4GB RAM, 64GB Storage)",DEALS AMAZING,10980,,23 ratings
